Name,URL,Location,Date Begin,Date End,Description
Gartner Data & Analytics Summit,https://www.gartner.com/events/pt/la/data-analytics,"São Paulo, Brazil",22 May 2018,23 May 2018,
DataDisrupt,http://www.datadisrupt.com/,"New York, USA",22 May 2018,24 May 2018,"DataDisrupt is the premier event focused on the impact of large scale data sets, new data sources, innovative analytic techniques, the latest technologies and the most creative entrepreneurs on the financial services sector. The conference will highlight many of the world's leading data analytics companies, and will congregate the ecosystem converging around them."
LDV Vision Summit,http://www.ldv.co/visionsummit,"New York, USA",23 May 2018,24 May 2018,"Who should attend?Computer Vision, Machine Learning & Artificial Intelligence experts and professionals. Media and brand executives interested in boosting revenue by leveraging new imaging and video products and technologies. Investors: Visual technologies & businesses deliver tremendous upside - don't miss the next Instagram, Youtube, Oculus, Snapchat...Imaging and video startups interested in meeting investors, customers, recruiting and potential partners.Technology executives evaluating companies for partnerships & acquisitions. Creatives: Photographers, Videographers and anyone creating content"
Carto locations summit New York,https://carto.com/locations-event/new-york/,"New York, USA",23 May 2018,24 May 2018,"CARTO Locations is the world’s biggest Location Intelligence Summit. Hundreds of leaders, innovators, practitioners, and thought leaders from the global geospatial community will come together to discuss how location data is disrupting business, governments, and society."
JOTB,https://jonthebeach.com/,"Malaga, Spain",23 May 2018,25 May 2018,"JOTB is an international rendezvous for developers and DevOps around Big Data technologies. A fun conference to learn and share the latest experiences, tips and tricks related to Big Data technologies and, the most important part, it’s On The Beach!"
Deep Learning Summit Boston,https://www.re-work.co/events/deep-learning-summit-boston-2018,"Boston, USA",24 May 2018,25 May 2018,"The smart artificial intelligence revolution. Explore software that can recognize patterns in digital representations of sounds, images, & data"
Deep Learning in Healthcare Summit Boston,https://www.re-work.co/events/deep-learning-health-boston-2018,"Boston, USA",24 May 2018,25 May 2018,"Discover the deep learning tools & techniques set to revolutionise healthcare applications, medicine & diagnostics."
Digital Transformation India 2018,https://events.forrester.com/ehome/index.php?eventid=275892&,"Mumbai, India",29 May 2018,29 May 2018,"Digital transformation now dominates many C-suite and boardroom agendas. But it remains unclear what “digital transformation” means. Most definitions are shallow, even while expectations for success are optimistic. Faced with these disparate viewpoints and demands, CIOs, CTOs, and CDOs struggle to define cohesive digital strategies — resulting in (at best) tinkering at the margins or (at worst) chaos and inefficiency."
dotAI,https://www.dotai.io/,"Paris, France",31 May 2018,1 June 2018,"We will continue inviting world-class experts on stage to explore the current state-of-the-art, the latest open source frameworks and everything there is to know about building intelligent applications."
Conference of the North American Chapter of the Association for Computational Linguistics (NAACL),http://naacl2018.org/,"New Orleans, USA",1 June 2018,6 June 2018,"The 16th Annual Conference of the North American Chapter of the Association for Computational Linguistics: Human Language Technologies will be held in New Orleans, June 1 to June 6, 2018 at the Hyatt Regency New Orleans hotel."
The Pacific-Asia Conference on Knowledge Discovery and Data Mining (PAKDD),http://prada-research.net/pakdd18/,"Melbourne, Australia",3 June 2018,6 June 2018,"The Pacific-Asia Conference on Knowledge Discovery and Data Mining (PAKDD) is a leading international conference in the areas of knowledge discovery and data mining (KDD). It provides an international forum for researchers and industry practitioners to share their new ideas, original research results and practical development experiences from all KDD related areas, including data mining, data warehousing, machine learning, artificial intelligence, databases, statistics, knowledge engineering, visualization, decision-making systems and the emerging applications."
Predictive Analytics World Business Las Vegas,http://www.predictiveanalyticsworld.com/business/2018/,"Las Vegas, USA",3 June 2018,7 June 2018,The premier machine learning conference
Predictive Analytics World Financial Las Vegas,https://www.predictiveanalyticsworld.com/financial/2018/,"Las Vegas, USA",3 June 2018,7 June 2018,Minimize risk & multiply returns with machine learning
Predictive Analytics World Healthcare Las Vegas,https://www.predictiveanalyticsworld.com/health/2018/,"Las Vegas, USA",3 June 2018,7 June 2018,"The PAW Healthcare program will feature sessions and case studies across Healthcare Business Operations and Clinical applications so you can witness how predictive analytics is employed at leading enterprises and resulting in improved outcomes, lower costs, and higher patient satisfaction."
Predictive Analytics World Manufacturing Las Vegas,https://www.predictiveanalyticsworld.com/manufacturing/2018/,"Las Vegas, USA",3 June 2018,7 June 2018,Predictive Analytics World for Manufacturing focuses on real-world examples of deployed predictive analytics. Attend and hear how some of the world’s largest and most forward-thinking manufacturers are tapping the powering predictive modeling to improve business outcomes.
Deep Learning World,https://www.deeplearningworld.com/,"Las Vegas, USA",3 June 2018,7 June 2018,"Deep Learning World is the premier conference covering the commercial deployment of deep learning. The event’s mission is to foster breakthroughs in the value-driven operationalization of established deep learning methods. DLW is co-located alongside four established industry Predictive Analytics World events — PAW Business, PAW Financial, PAW Healthcare, and PAW Manufacturing — which will compose PAW’s single “mega” event for 2018."
EmTech Next,https://events.technologyreview.com/emtech/next/18/,"Cambridge, USA",4 June 2018,5 June 2018,"AI and robotics are driving rapid and radical workplace transformation across all industries, for companies large and small. These and other emerging technologies, like advanced manufacturing and AR/VR, are changing jobs ranging from manufacturing to medicine to retail. EmTech Next will examine the technology behind these global trends and their implications for the future of work. It will delve into their potential to empower the human workforce and open up new areas of economic growth, while also exploring their unintended consequences."
Spark + AI Summits,https://databricks.com/sparkaisummit/north-america,"San Francisco, USA",4 June 2018,6 June 2018,"Spark Summits have become the world’s largest big data event focused entirely on Apache Spark—assembling the best engineers, scientists, analysts, and executives from around the globe to share their knowledge and receive expert training on this open-source powerhouse. Also, many thousands have come to learn how Spark, big data, machine learning, data engineering, and data science are delivering new insights to businesses and institutions worldwide."
ICHI 2018,http://hpr.weill.cornell.edu/divisions/health_informatics/ieee_ichi.html,"New York, USA",4 June 2018,7 June 2018,"The ICHI series is the premier community forum concerned with the application of computer science principles, information science principles, information technology, and communication technology to address problems in healthcare, public health, and everyday wellness. The conference highlights the most novel technical contributions in computing-oriented health informatics and the related social and ethical implications."
Eyeo festival,http://eyeofestival.com/,"Minneapolis, USA",4 June 2018,7 June 2018,"Eyeo brings together a community of people drawn to the intersection of art, data and creative technology. Join us for 4 days of enthralling talks, unique workshops and thought provoking interactions lead by passionate thinkers and makers. You’ll love it. (And it’ll be better with you there.) Converge to Inspire."
EuroViz 2018,http://www.eurovis2018.org,"Brno, Czech republic",4 June 2018,8 June 2018,"Our organizational team at the Masaryk University is looking forward to welcome the researchers from the field of data visualization, covering also many interdisciplinary applications. Data visualization is key in gaining an understanding of large, complex data sets by exploiting the human visual system. Data visualization leverages computer graphics in order to provide a visual overview, explore, analyze, and present phenomena which are often difficult to understand."
Gartner Data & Analytics Summit,https://www.gartner.com/events/apac/data-analytics-india,"Mumbai, India",5 June 2018,6 June 2018,"To survive and thrive in the digital era, now is the time to drive data and analytics into the core of your business and scale outward to every employee, customer, supplier and partner. Scaling the value of data and analytics requires a culture of data enablement that extends throughout every facet of your organization. A culture where data and analytics inform and drive business objectives, operational efficiencies and innovation. Join us onsite in June to secure your place at the forefront of digital business leadership."
International Competitive and Market Intelligence Conference,https://conference.competitive-intelligence.com/,"Bad Nauheim, Germany",5 June 2018,8 June 2018,"The 10th of our International Competitive and Market Intelligence Conference not only marks a 10-year success story, it is also a testament to excellence in CI/MI. We feel it is our responsibility to provide world-class keynotes, inspiring impulse speeches, best practice lessons, and presentations of innovative scientific research in Competitive and Market Intelligence. You might ask of our success. The answer is quite simple: Quality in everything we do! We strive for excellent presentations, innovative session formats, peer-reviewed tracks, and certified processes (ISO 29990). We work hard to maintain our position as THE Center of Excellence in Competitive and Market Intelligence."
IoT convention,https://iot-convention.eu/en/,"Antwerp, Belgium",6 June 2018,6 June 2018,"The 6 tracks: IoT enablers, Smart cities, Smart living, Health care, smart factory, Drone Village"
Machine Intelligence Summit Hong Kong,https://www.re-work.co/events/machine-intelligence-summit-hong-kong-2018,Hong Kong,6 June 2018,7 June 2018,Where machine learning meets artificial intelligence. The rise of intelligent machines to make sense of data.
Machine Intelligence in Healthcare Summit Hong Kong,https://www.re-work.co/events/machine-intelligence-in-healthcare-summit-hong-kong-2018,Hong Kong,6 June 2018,7 June 2018,"Discover the machine intelligence tools & techniques set to revolutionise healthcare applications, medicine & diagnostics."
Berlin Buzzwords,https://berlinbuzzwords.de,"Berlin, Germany",10 June 2018,12 June 2018,"Berlin Buzzwords is a conference focused on open source software projects in the field of big data analysis, scalability, storage and searchability. It provides a platform for developers, engineers, IT architects, analysts and data scientists who are interested in information retrieval, the searchability of large amounts of data, NoSQL and big data processing. Previous Berlin Buzzwords' presentations focused on Apache Spark, Flink, Kylin, Cassandra, Lucene, HBase, Kafka, Solr, Hadoop, Samza, Mahout, Elasticsearch, MongoDB and many more."
ACM SIGMOD Intrnational Conference on Management of Data,https://sigmod2018.org,"Houston, USA",10 June 2018,15 June 2018,"The annual ACM SIGMOD/PODS Conference is a leading international forum for database researchers, practitioners, developers, and users to explore cutting-edge ideas and results, and to exchange techniques, tools, and experiences. The conference includes a fascinating technical program with research and industrial talks, tutorials, demos, and focused workshops. It also hosts a poster session to learn about innovative technology, an industrial exhibition to meet companies and publishers, and a careers-in-industry panel with representatives from leading companies."
Learning and Intelligent OptimizatioN Conference (LION 12),http://www.caopt.com/LION12/,"Kalamata, Greece",10 June 2018,15 June 2018,"This meeting, which continues the successful series of LION events (see LION 5 at Rome, and LION 6 at Paris, and LION 7 at Catania), is aimed at exploring the intersections and uncharted territories between machine learning, artificial intelligence, mathematical programming and algorithms for hard optimization problems. The main purpose of the event is to bring together experts from these areas to discuss new ideas and methods, challenges and opportunities in various application areas, general trends and specific developments."
CogX London 2018: Festival of All Things AI,https://cogx.co/,"London, UK",11 June 2018,12 June 2018,The Festival of All Things AI.
E3 CONF,https://www.e3expo.com,"Los Angeles, USA",12 June 2018,14 June 2018,E3 2018 is the must-attend event to see and experience the future of video games.
AI Toronto,http://www.ai-toronto.com/,"Toronto, Canada",12 June 2018,13 June 2018,"AI Toronto will feature talks by industry leaders, developers, and experts on the future of artificial intelligence as well as its benefits for industries and businesses. Because of the fast-paced advancements being made in the field of AI, it has become necessary for businesses to understand AI and its benefits. AI Toronto is one of the machine learning and artificial intelligence conferences for business executives around the world. It will feature talks from business executives who have integrated AI into their businesses and as a result, derived more value and paved way for new opportunities."
Big Data Toronto,http://www.bigdata-toronto.com/,"Toronto, Canada",12 June 2018,13 June 2018,"The conference will focus on technical and practical verticals including use cases around predictive analytics, advanced machine learning, data governance, privacy, cybersecurity, Smart Home & IoT, digital transformation, Hadoop, cloud analytics and cloud computing."
Predictive analytics World Manufacturing Munich,https://predictiveanalyticsworld.de/en/industry4-0/muenchen2018/,"Munich, Germany",12 June 2018,13 June 2018,"Business users, decision makers and experts in predictive analytics will meet on 12-13 June 2018 in Munich to discover and discuss the latest trends and technologies in machine & deep learning for the era of Internet of Things and artificial intelligence."
AI summit London,https://theaisummit.com/london/,"London, UK",12 June 2018,14 June 2018,"Beyond the hype, AI is already delivering real value in business. It’s being implemented across all industries and business functions creating unprecedented efficiencies in human productivity."
Savage Marketing 2018,http://event.savagemarketing.io,"Amsterdam, Netherlands",13 June 2018,14 June 2018,INTELLIGENT MARKETING REDEFINED - A gathering of Europe’s leading marketers!
Data Science Salon New York,https://datascience.salon/ny/,"New York, USA",14 June 2018,14 June 2018,"Data Science Salon unites the brightest leaders in the media and entertainment in New York data science fields. We gather to educate each other, illuminate best practices, and innovate new solutions. Data Science Salon | NY is a one day conference with workshops for executives, data scientists, developers, and business development professionals alike. We’ve collected extensive data to figure out just the right mix of people, content, and entertainment to make our conferences as seamless, informative, and fun as possible."
AI & Machine Learning for Clinical Trial and R&D Advancements,http://exlevents.com/ai-clinical-trial/,"Philadelphia, USA",14 June 2018,15 June 2018,"At the AI & Machine Learning for Clinical Trial and R&D Advancements event, our high-caliber speaking faculty of machine learning and drug development leaders provides key insights into the AI vertical use in clinical trials. Attendees will walk away with the ability to successfully implement AI platforms to advance drug discovery, streamline clinical trials, and coordinate site-sponsor activities."
Gartner Data & Analytics Summit,https://www.gartner.com/events/apac/business-intelligence-japan,"Tokyo, Japan",14 June 2018,15 June 2018,"To survive and thrive in the digital era, now is the time to drive data and analytics into the core of your business and scale outward to every employee, customer, supplier and partner. This conference will help you create the future – a future based on data you can trust, analytics you can rely on and the insight needed to make game-changing business decisions."
Digital Transformation Europe 2018,https://events.forrester.com/ehome/index.php?eventid=273738&,"London, UK",14 June 2018,15 June 2018,"Digital transformation now dominates many C-suite and boardroom agendas. But it remains unclear what “digital transformation” means. Most definitions are shallow, even while expectations for success are optimistic. Faced with these disparate viewpoints and demands, CIOs, CTOs, and CDOs struggle to define cohesive digital strategies — resulting in (at best) tinkering at the margins or (at worst) chaos and inefficiency."
MLDM 2018,http://www.mldm.de/mldm2018.php,"New York, USA",14 June 2018,19 June 2018,14th International Conference on Machine Learning and Data Mining
DataWorks Summit San Jose,https://dataworkssummit.com/san-jose-2018/,"San Jose, USA",17 June 2018,21 June 2018,"Leading enterprises are using advanced analytics, data science, and artificial intelligence to transform the way they deliver customer and product experiences—at scale. Discover how they’re doing it. Learn about the latest developments. And network with peers and pioneers to learn how to apply open source technology to accelerate your digital transformation."
ML Conference,https://mlconference.ai/,"Munich, Germany",18 June 2018,20 June 2018,"Are you looking to enhance your business with Machine Learning? Then ML Conference is for you. It gives you a comprehensive insight into the principles of Machine Learning and introduces to the world of ML tools, programming languages and technologies. Experienced ML speakers from a solid industry background show you how to create real value from Artificial Intelligence using the latest technologies such as Tensorflow, Deep Learning toolkits, Chatbots and many more."
CVPR 2018,http://cvpr2018.thecvf.com/,"Salt Lake City, USA",18 June 2018,23 June 2018,"CVPR is the premier annual computer vision event comprising the main conference and several co-located workshops and short courses. With its high quality and low cost, it provides an exceptional value for students, academics and industry researchers."
Big data analytics and data mining,https://datamining.conferenceseries.com,"Rome, Italy",20 June 2018,21 June 2018,"The main theme of the conference is “Future Technologies for Knowledge Discoveries in Data"". This conference aimed to expand its coverage in the areas of Big Data and Data Mining where expert talks, young researcher’s presentations will be placed in every session of the meeting will be inspired and keep up your enthusiasm. We feel our expert Organizing Committee is our major asset, however your presence over the venue will add one more feather to the crown of Data Mining 2018."
European Data and Computational Journalism Conference,http://datajconf.com,"Cardiff, Wales",20 June 2018,21 June 2018,"The 2nd European Data and Computational Journalism Conference aims to bring together industry, practitioners and academics in the fields of journalism and news production and information, data, social and computer sciences, facilitating a multidisciplinary discussion on these topics in order to advance research and practice in the broad area of Data and Computational Journalism."
DCAI 2018,https://www.dcai-conference.net/,"Toledo, Spain",20 June 2018,22 June 2018,"The 15th International Conference on Distributed Computing and Artificial Intelligence 2018 is an annual forum that will bring together ideas, projects, lessons, etc. associated with distributed computing and artificial intelligence, and their application in different areas."
ICAPS 2018,http://icaps18.icaps-conference.org/,"Delft, Netherlands",24 June 2018,29 June 2018,The International Conference on Automated Planning and Scheduling (ICAPS) is the premier forum for exchanging news and research results on theory and applications of intelligent planning and scheduling technology.
"IEA-AIE 2018
",http://ieaaie2018.encs.concordia.ca/,"Montreal, Canada",25 June 2018,28 June 2018,"The 31st International Conference on Industrial, Engineering & Other Applications of Applied Intelligent Systems"
" International Conference on the Integration of Constraint Programming, Artificial Intelligence, and Operations Research",https://sites.google.com/view/cpaior2018,"Delft, Netherlands",26 June 2018,29 June 2018,"The aim of the conference CPAIOR is to bring together interested researchers from Constraint Programming (CP), Artificial Intelligence (AI), and Operations Research (OR) to present new techniques or applications, and to provide an opportunity for researchers in one area to learn about techniques in the others."
Robotics: Science and Systems,http://www.roboticsconference.org/,"Pittsburgh, USA",26 June 2018,30 June 2018,"The Robotics: Science and Systems has a long history of bringing together researchers in all areas of robotics from around the world for an engaging and focussed week of single-track presentations, workshops, poster sessions, tutorials, and fun!"
"AI, Machine Learning and Sentiment Analysis Applied to Finance",http://conferences.unicom.co.uk/sentiment-analysis-london-2018/,"London, UK",27 June 2018,28 June 2018,This conference will help you to demystify the buzz around AI and differentiate the reality from the hype. Learn about how you can benefit from the unprecedented progress in AI technologies at this conference. Participants will be presented with real insights on how they can exploit these technological advances for themselves and their companies.
AI Expo Europe,https://www.ai-expo.net/europe/,"Amsterdam, Netherlands",27 June 2018,28 June 2018,"The high-level conference will bring together forward thinking brands, market leaders, AI evangelists and hot start-ups to explore and debate the advancements in Artificial Intelligence and the impacts within the Enterprise & Consumer sectors. Topics covered include Business Intelligence, Deep Learning, Machine Learning, AI Algorithms, Data & Analytics, Virtual Assistants & Chatbots as well as case study based presentations proving an insight into the deployment of AI across different verticals."
Real Business Intelligence,https://realbusinessintelligence.com/,"Cambridge, USA",27 June 2018,28 June 2018,"Explore the trends impacting your information management, analytics and business intelligence strategies. Learn to think about the future and turn it into real strategic plans and specific actions."
AI for CxOs Dinner San Francisco,https://www.re-work.co/events/ai-cxo-dinner-san-francisco-2018,"San Francisco, USA",28 June 2018,28 June 2018,How AI will impact the future of work? An evening of discussions & networking exploring the opportunities & challenges of integrating AI into your business.
AI in Industrial Automation Summit San Francisco,https://www.re-work.co/events/ai-industrial-automation-summit-san-francisco-2018,"San Francisco, USA",28 June 2018,29 June 2018,The Fourth Industrial Revolution. Discover how to harness advancements in AI to increase quality & efficiency in industry.
Deep Learning for Robotics Summit San Francisco,https://www.re-work.co/events/deep-learning-for-robotics-summit-san-francisco-2018,"San Francisco, USA",28 June 2018,29 June 2018,Where AI meets the real world. Improving robotics via deep learning & creating the next generation of smart robots.
The 4th Research and Applied AI Summit,https://raais.co/,"London, UK",29 June 2018,29 June 2018,"RAAIS is a community for entrepreneurs and researchers who accelerate the science and applications of AI technology. The event is organized annually by Nathan Benaich, a London-based investor, technologist and former research scientist focused on companies creating transformational solutions for the world’s most challenging problems."
AI+Talk at SVIEF,http://www.svief.org/AITalk2018/,"Santa Clara, USA",1 July 2018,1 July 2018,"SVIEF is excited to kick off its 2018 agenda with the brand new AI+ Talk on January 7th, 2018 at Santa Clara Convention Center. The Talk features the IoT & Smart Home Session. Speakers from Google Brain, Ling Technology and eKryp will share their thoughts on ways that Artificial Intelligence and Machine Learning are revolutionizing IoT and enhancing the value of Smart Home."
Anthill Inside 2018,https://anthillinside.in/2018/,"Bangalore, India",25 July 2018,25 July 2018,"Anthill Inside is the new avataar of the Deep Learning conference. Anthill Inside attempts to bridge the gap bringing theoretical advances closer to functioning reality. Proposals are invited for full length talks, crisp talks, and poster/demo sessions in the area of ML+DL. The talks need to focus on the techniques used, and may be presented independent of the domain wherein they are applied. We also invite talks on novel applications of ML+DL, and methods of realising the same in hardware/software"
The 6th AAAI Conference on Human Computation and Crowdsourcing (HCOMP) 2018,https://humancomputation.com/2018/,"Zurich, Switzerland",5 July 2018,8 July 2018,"HCOMP is the premier venue for disseminating the latest research findings on crowdsourcing and human computation. While artificial intelligence (AI) and human-computer interaction (HCI) represent traditional mainstays of the conference, HCOMP believes strongly in inviting, fostering, and promoting broad, interdisciplinary research. This field is particularly unique in the diversity of disciplines it draws upon, and contributes to, ranging from human-centered qualitative studies and HCI design, to computer science and artificial intelligence, economics and the social sciences, all the way to digital humanities, policy, and ethics."
COLT 2018,http://www.learningtheory.org/colt2018/,"Stockholm, Sweden",5 July 2018,9 July 2018,the Conference On Learning Theory
International Conference on Mass Data Analysis of Images and Signals (MDA 2018),http://www.mda-signals.de/,"New York, USA",7 July 2018,10 July 2018,"The International Conference on Mass Data Analysis of Images and Signals MDA with Applications in Medicine, r/g/b Biotechnology, Food Industries and Dietetics, Biometry, Agriculture, Drug Discovery, and System Biology is held on yearly basis. The topics of the conference are not limited. The list of topics above only shows the high-lights of nowadays topics with the emphasis of encouraging to direct new arising. It can be presented any work on signal and image analysis that shows how real world applications can be solved by applying new ground breaking methods for signal and image analysis."
SIGIR 2018,http://sigir.org/sigir2018/,"Detroit, USA",8 July 2018,12 July 2018,The 41st International ACM SIGIR Conference on Research and Development in Information Retrieval
The International Joint Conference on Neural Networks (IJCNN),http://www.ecomp.poli.br/~wcci2018/,"Rio de Janeiro, Brazil",8 July 2018,13 July 2018,"The International Joint Conference on Neural Networks (IJCNN) covers a wide range of topics in the field of neural networks, from biological neural networks to artificial neural computation."
RISE 2018,https://riseconf.com,Hong Kong,9 July 2018,12 July 2018,"RISE is produced by the team behind Web Summit. In 6 short years, Web Summit has become Europe’s largest tech conference which last year attracted 53,000 attendees from 136 countries around the world. In July 2018, people from the world’s biggest companies and most exciting startups will come to Hong Kong to share their stories and experiences. They’ll be joined by major global media, hundreds of investors and thousands of attendees for three days of legendary networking."
Transform 2018,http://vbevents.venturebeat.com/mobilebeat2018,"San Francisco, USA",10 July 2018,11 July 2018,"Transform is the annual event focused on innovation for the wider marketing ecosystem. If you’re an executive in the digital industry — from retail, professional services, fintech or elsewhere —TRANSFORM covers the latest strategies and case studies that will help you get an edge on your competitors, all designed to engage and convert users. New technologies leveraging artificial intelligence and data, combined with a new Millennial mindset, are transforming the way product managers and marketers think and operate when it comes to driving business. Network with the smartest in Silicon Valley, and go home with thought leadership around mobile and digital disruption."
Computing Conference 2018,http://saiconference.com/Computing,"London, UK",10 July 2018,12 July 2018,"The goal of the conference is to be a premier venue for researchers and industry practitioners to share new ideas, research results and development experiences in various fields. It is one of the best respected conferences in the area of computer science."
18th Industrial Conference on Data Mining ICDM 2018,http://www.data-mining-forum.de,"New York, USA",11 July 2018,15 July 2018,"The Industrial Conference of Data Mining, ICDM, is one of the leading events where researchers, practicioners and newcomers in the field of data mining come together to share their ideas and discuss new trends in Data Mining."
ICML 2018,https://icml.cc,"Stockholm, Sweden",10 July 2018,15 July 2018,ICML is the leading international machine learning conference and is supported by the International Machine Learning Society (IMLS).
AAMAS 2018,http://celweb.vuse.vanderbilt.edu/aamas18,"Stockholm, Sweden",10 July 2018,15 July 2018,"AAMAS (International Conference on Autonomous Agents and Multiagent Systems) is the largest and most influential conference in the area of agents and multiagent systems. The aim of the conference is to bring together researchers and practitioners in all areas of agent technology and to provide a single, high-profile, internationally renowned forum for research in the theory and practice of autonomous agents and multiagent systems."
International Conference on Computational Social Science (IC2S2),http://www.kellogg.northwestern.edu/news-events/conference/ic2s2/2018.aspx,"Evanston, USA",13 July 2018,15 July 2018,"Save the date for this interdisciplinary event designed to connect a diverse community of researchers — academics, industry experts, open data activists, government agency workers and think tank analysts — who are dedicated to advancing social science through computational methods."
the 27th International Joint Conference on Artificial Intelligence,http://www.ijcai-18.org,"Stockholm, Sweden",13 July 2018,19 July 2018,IJCAI is the premier international gathering of researchers in AI and ECAI is the premier European gathering of researchers in AI.
International Conference On Machine Learning And Data Mining,http://www.mldm.de/index.php,"New York, USA",14 July 2018,19 July 2018,"International Conference on Machine Learning and Data Mining will focus on advancements and research in the field of machine learning and data mining. Talks will focus on latest research and development in machine learning and data mining and their application to a number of different fields such as multimedia, biomedical and web mining."
56th Annual Meeting of the Association for Computational Linguistics ,http://acl2018.org,"Melbourne, Australia",15 July 2018,20 July 2018,"The 56th Annual Meeting of the Association for Computational Linguistics will be held in Melbourne, Australia at the Melbourne Convention and Exhibition Centre from July 15th to 20th, 2018."
New Tech & Innovation 2018,https://events.forrester.com/ehome/index.php?eventid=301574&,"Boston, USA",18 July 2018,19 July 2018,"We will focus on three critical challenges for technology and innovation leaders: Understanding the increasing complexity and velocity of emerging digital technologies, as well as the opportunities and challenges they represent to existing business models and operating norms; Mapping the proliferation of innovative and disruptive start-up and early stage companies powered by these emerging technologies; and Best practices among large enterprises in the adoption of emerging technologies, as well as collaboration with early stage innovators."
9th International Conference on Social Media & Society,http://socialmediaandsociety.org/,"Copenhagen, Denmark",18 July 2018,20 July 2018,"The conference’s intensive three-day program will feature full papers, work-in-progress papers, panels, and posters. The wide-ranging topics in social media showcase research from scholars working in many fields including Communication, Computer Science, Education, Journalism, Information Science, Management, Political Science, Sociology."
Multimedia & Artificial Intelligence Summit,https://multimedia.global-summit.com,"Rome, Italy",19 July 2018,21 July 2018,"Conferenceseries Ltd ‘s 4th Global Summit and Expo on Multimedia & Artificial Intelligence is a leading conference for international community of academic experts, scholars and business people in the field of Multimedia & Artificial Intelligence Technologies. We are sure that the 4th Global Summit and Expo on Multimedia & Artificial Intelligence (Multimedia 2018) will be a unique opportunity for networking, to enjoy a high quality scientific program in the form of oral & poster presentation, workshops, symposiums, tutorial & panel discussion."
ICDM 2018,https://www.waset.org/conference/2018/07/istanbul/ICDM,"Istanbul, Turkey",23 July 2018,24 July 2018,"The ICDM 2018: 20th International Conference on Data Mining aims to bring together leading academic scientists, researchers and research scholars to exchange and share their experiences and research results on all aspects of Data Mining. It also provides a premier interdisciplinary platform for researchers, practitioners and educators to present and discuss the most recent innovations, trends, and concerns as well as practical challenges encountered and solutions adopted in the fields of Data Mining."
Data 2018,http://www.dataconference.org,"Porto, Portugal",26 July 2018,28 July 2018,"Value of Data in a Data-Driven Economy"" is the theme of the 7th International Conference on Data Science, Technology and Applications (DATA) which purpose is to bring together researchers, engineers and practitioners interested on databases, big data, data mining, data management, data security and other aspects of information systems and technology involving advanced applications of data."
Conference on Data Science (ICDATA’18),http://2018.icdatascience.org/,"Las Vegas, USA",30 July 2018,2 August 2018,"ICDATA, the International Conference on Data Science, is the renamed former International Conference on Data Mining, DMIN, which was held in the past thirteen years. Therefore, we will continue with the 14th conference on this topic. We hope that the new name (and acronym) will be more attractive and reflect a more modern perspective – although the content itself has not changed dramatically in the sense, that we still aim at organizing an interesting and modern conference related to all aspects of data science, e.g., data mining, machine learning, big data. We are the same organization team as in the past for DMIN, and we have the same processes (review feedback etc.)."
AI summit Hong Kong,https://theaisummit.com/hongkong/,Hong Kong,31 July 2018,1 August 2018,"AI is already here. It’s being implemented in most industries by leading organisations spanning finance, law, healthcare, manufacturing, transport, energy, education and many more. The AI Summit is the world’s first and largest conference & exhibition to look at the practical implications of AI for enterprise organisations, the actual solutions that are transforming business productivity."
TDWI Anaheim Conference,https://tdwi.org/events/conferences/anaheim.aspx,"Anaheim, USA",5 August 2018,10 August 2018,"In one week, at one location, you will get the most applicable training on your top data challenges from the industry’s most respected thought leaders and practitioners. Modernizing your data warehouse? Implementing cloud services? Working to develop a successful data architecture strategy for your self-service analytics and data science endeavors? Need to ensure your dashboards and KPIs are driving innovation and growth within your organization? TDWI Anaheim provides you with the skills and best practices you need to advance your data management and analytics initiatives now."
International Conference on Data Science and Engineering (ICDSE),http://icdse.cusat.ac.in/,"Kochi, India",7 August 2018,9 August 2018,"The rapid development of computer science and information technology in the last couple of decades has generated massive amount of data and fundamentally changed every field in science and engineering. Many disciplines are now rich in data and tend to adopt data science or data-intensive engineering methodologies to do research and development. Scientific approach to process data involving the engineering aspects as well, would lead to major strides in the domains of data, information and knowledge which contribute to the evolving knowledge society. This conference is intended to take stock of the trends and developments in the globally competititve environment as well as to provide indicators for future directions to researchers and practitioners"
SIGGRAPH 2018,http://s2018.siggraph.org,"Vancouver, Canada",12 August 2018,16 August 2018,"SIGGRAPH 2018 is a five-day immersion into the latest innovations in CG, Animation, VR, Games, Digital Art, Mixed Reality and Emerging Technologies. Experience research, hands-on demos, and fearless acts of collaboration."
KDD 2018,http://www.kdd.org/kdd2018/,"London, UK",19 August 2018,23 August 2018,"The annual KDD conference is the premier interdisciplinary conference bringing together researchers and practitioners from data science, data mining, knowledge discovery, large-scale data analytics, and big data."
CASE 2018,http://case2018.org,"Munich, Germany",20 August 2018,24 August 2018,"The fourteenth annual IEEE International Conference on Automation Science and Engineering (IEEE CASE 2018) is the flagship automation conference of the IEEE RAS and constitutes the primary forum for cross-industry and multidisciplinary research in automation. Its goal is to provide a broad coverage and dissemination of foundational research in automation among researchers, academics, and practitioners. This edition of the conference will be under the motto Knowledge-based automation."
ICPR 2018,http://www.icpr2018.org,"Beijing, China",20 August 2018,24 August 2018,"The conference provides an international forum for researchers and practitioners in the broad area of pattern recognition, including pattern recognition and machine learning, computer vision, speech, image, video and multimedia, biometrics and human computer interaction, document analysis and recognition, biomedical imaging and bioinformatics. Workshops, Tutorials, Contests in various topics will also be organized."
